,of,item,id ov,ov,semana,data desejada,centro de trabalho,acabamento,blocos,ccs,virados,referência,semana minima,duração,semana precedencia,número de semanas,Código Material,Quantidade Material,Código Consumo,Quantidade Consumo,Descrição Consumo,Semana com mesma ref,aglomerado,c
79,385197510,10.0,8,3820016492.0,49,47,CNMEMBPL,Total,0.0,-1,0.0,"PL CC 8058/PTH 1000X500X3,0 01",49,3.0,49,1,70011335,100.0,70005683,100.0,"PL CC 8058/PTH 1000X500X3,0 NE",-1,-1,0
80,385197577,10.0,8,3820016492.0,49,47,CNMLAMPL,Total,1.465,-1,0.0,"PL CC 8058/PTH 1000X500X3,0 NE",47,9.66,47,1,70005683,100.0,70005525,1.465,BL CC 8058/ORT 1000X500X210 NE,-1,-1,0
81,385197595,10.0,7,3820016491.0,50,48,CRMLAMPL,Total,11.853,-1,0.0,"PL CR 1521/000 1000X1000X4,0 NE",48,146.45999999999998,47,1,70006399,418.0,70000854,11.853,BL CR 1521/000 1000X1000X152 NE,-1,-1,0
82,385197481,10.0,7,3820016491.0,50,48,CRMEMBPL,Total,0.0,-1,0.0,"PL CR 1521/000 1000X1000X4,0 SE",50,44.58,50,1,70003224,418.0,70006399,418.0,"PL CR 1521/000 1000X1000X4,0 NE",-1,-1,0
83,385200369,20.0,6,3820016489.0,68,47,CRMSER05,Total,4.667,-1,0.0,BL CR 6400/000 1270X500X152 NE,66,18.66,47,1,70025280,9.334,70000875,4.667,BL CR 6400/000 1270X1040X152 NE,-1,-1,0
84,385200260,20.0,6,3820016489.0,68,47,CRMSER19,Total,9.334,-1,0.0,"PL CR 6400/000 1270X500X42,0 NE",66,55.980000000000004,68,1,70025238,28.0,70025280,9.334,BL CR 6400/000 1270X500X152 NE,-1,-1,0
85,385200197,20.0,6,3820016489.0,68,47,CRMLIXPL,Total,0.0,-1,0.0,"PL CR 6400/S21 1270X500X40,0 NE",66,33.6,68,1,70025237,28.0,70025238,28.0,"PL CR 6400/000 1270X500X42,0 NE",-1,-1,0
86,385200130,20.0,6,3820016489.0,68,47,CRMEMBPL,Total,0.0,-1,0.0,"PL CR 6400/S21 1270X500X40,0 02",66,16.8,68,1,70002136,28.0,70025237,28.0,"PL CR 6400/S21 1270X500X40,0 NE",-1,-1,0
87,385201752,10.0,6,3820016489.0,68,47,CRMSER05,Total,3.334,-1,0.0,BL CR S112/000 1270X500X152 NE,66,13.32,47,1,70024059,6.667,70000872,3.334,BL CR S112/000 1270X1040X152 NE,-1,-1,0
88,385200257,10.0,6,3820016489.0,68,47,CRMLIXPL,Total,0.0,-1,0.0,"PL CR S112/S21 1270X500X35,0 NE",47,24.0,68,1,70014632,20.0,70006491,20.0,"PL CR S112/000 1270X500X35,0 NE",-1,-1,0
89,385200349,10.0,6,3820016489.0,68,47,CRMSER19,Total,6.667,-1,0.0,"PL CR S112/000 1270X500X35,0 NE",47,40.02,68,1,70006491,20.0,70024059,6.667,BL CR S112/000 1270X500X152 NE,-1,-1,0
90,385200131,10.0,6,3820016489.0,68,47,CRMEMBPL,Total,0.0,-1,0.0,"PL CR S112/PV1 1270X500X35,0 00",47,10.020000000000001,68,1,70002813,20.0,70014632,20.0,"PL CR S112/S21 1270X500X35,0 NE",-1,-1,0
91,385197512,10.0,5,3820016483.0,68,51,CRMEMBPL,Total,0.0,-1,0.0,"PL CR S112/PV1 320X210X20,0 01",68,2.1599999999999997,68,1,70014232,62.0,70013789,62.0,"PL CR S112/PV1 320X210X20,0 NE",-1,-1,0
92,385197648,10.0,5,3820016483.0,68,51,CRMSER05,Total,0.0,-1,0.0,"PL CR S112/PV1 320X210X20,0 NE",66,66.42,68,1,70013789,62.0,70003761,8.0,"PL CR S112/PV1 915X915X20,0 NE",-1,-1,0
