,Material,Componente,FI0,Quantidade componente,col_bmeng
6717,70008411,70008405,0.5,500.0,1000.0
6718,70008418,70008417,0.5,500.0,1000.0
6719,70008402,70008401,0.5,500.0,1000.0
6720,70008359,70008355,0.5,500.0,1000.0
6721,70008356,70008351,0.5,500.0,1000.0
6722,70008354,70008349,0.5,500.0,1000.0
6723,70008350,70008348,0.5,500.0,1000.0
6724,70008330,70008327,0.5,500.0,1000.0
6725,70007502,70007501,0.5,500.0,1000.0
6726,70008339,70008338,0.5,500.0,1000.0
6727,70008321,70008318,0.5,500.0,1000.0
6728,70007742,70007739,0.5,500.0,1000.0
6729,71001003,71000621,0.5,500.0,1000.0
6730,72000320,70001852,0.08333333333333333,120.0,1440.0
6733,72000321,72000010,1.0,1200.0,1200.0
6735,72000322,70000296,0.083333,83.333,1000.0
6736,72000323,72000154,1.0,1440.0,1440.0
6737,72000326,70000296,0.2,80.0,400.0
6738,72000327,70010620,0.06667000000000001,66.67,1000.0
6739,72000328,70010620,0.16666999999999998,166.67,1000.0
6740,72000329,70010620,0.08334,83.34,1000.0
6741,72000330,70000596,0.05,60.0,1200.0
6744,72000331,72000169,1.0,4860.0,4860.0
6748,72000332,72000014,1.0,960.0,960.0
6750,72000333,72000015,1.0,720.0,720.0
6753,72000334,72000016,1.0,280.0,280.0
6754,72000335,70009389,1.0,1260.0,1260.0
6756,72000340,72000183,1.0,1800.0,1800.0
6760,72000341,72000184,1.0,600.0,600.0
6761,72000342,72000185,1.0,4860.0,4860.0
6767,72000343,72000017,1.0,780.0,780.0
6768,72000344,70000261,0.08333333333333333,100.0,1200.0
6769,72000345,72000018,1.0,1020.0,1020.0
6771,72000345,90100046,1.0,1020.0,1020.0
6773,72000346,90100047,1.0,1020.0,1020.0
6774,72000346,72000019,1.0,1020.0,1020.0
6775,72000347,72000020,1.0,1020.0,1020.0
6776,72000348,72001116,1.0,480.0,480.0
6778,72001619,72001620,1.0,1000.0,1000.0
6779,72000353,72000195,1.0,960.0,960.0
6780,70009358,70007848,1.0,1000.0,1000.0
6781,72000356,70000082,0.25,250.0,1000.0
6782,72000357,70000085,0.25,250.0,1000.0
6783,70012103,70001713,0.25,100.0,400.0
6784,70012104,70001713,0.1,100.0,1000.0
6785,72000358,70000089,0.25,250.0,1000.0
6786,72000359,70000089,0.125,125.0,1000.0
6787,70012105,70000361,0.5,100.0,200.0
6788,70012106,70000078,0.25,250.0,1000.0
6789,71001011,71001232,1.0,1000.0,1000.0
6790,70009316,70009317,1.0,160.0,160.0
6791,72000360,70011727,1.0,20.0,20.0
6792,72000364,72000093,1.0,1000.0,1000.0
6793,72000365,72000040,1.0,1000.0,1000.0
6794,72000366,70012102,1.0,1000.0,1000.0
6795,72000367,72000193,1.0,140.0,140.0
6796,72000368,72000204,1.0,100.0,100.0
6797,70009219,70009217,1.0,1000.0,1000.0
6798,70009160,70009158,1.0,1000.0,1000.0
6799,71000944,70012110,0.5,500.0,1000.0
6800,71001019,70008259,0.0014,1.4,1000.0
6801,71001020,70008249,0.001055,1.055,1000.0
6802,71000004,71001112,0.33333300000000005,333.333,1000.0
6803,71001027,71001121,1.0,1000.0,1000.0
6804,71001030,71000491,0.25,250.0,1000.0
6805,71001031,70012142,0.09090999999999999,90.91,1000.0
6806,71000002,71001179,0.25,250.0,1000.0
6807,71000005,71001185,0.5,500.0,1000.0
6808,71001032,70012145,0.07143000000000001,71.43,1000.0
6809,71001033,70012146,0.11112000000000001,111.12,1000.0
6810,71001034,70012147,0.09243699999999999,92.437,1000.0
6811,71001036,71000004,1.0,1000.0,1000.0
6812,71001037,71001179,0.25,250.0,1000.0
6813,71001038,70005102,0.16666999999999998,166.67,1000.0
6814,71001039,70005102,0.25,250.0,1000.0
6815,71001040,70004773,0.25,250.0,1000.0
6816,71001041,70005103,0.25,250.0,1000.0
6817,71001042,70005103,0.25,250.0,1000.0
6818,71001043,70003766,1.0,1000.0,1000.0
6819,71001044,70003766,1.0,1000.0,1000.0
6820,71001046,70009937,0.027780000000000003,27.78,1000.0
6821,71001048,70003760,0.00445,4.45,1000.0
6822,71001050,70005103,0.5,500.0,1000.0
6823,71001051,70005103,0.03334,33.34,1000.0
6824,71001052,70005103,0.04546,45.46,1000.0
6825,71001053,70005103,0.5,500.0,1000.0
6826,71001054,70005103,0.33333999999999997,333.34,1000.0
6827,71001055,70005103,0.25,250.0,1000.0
6828,71001056,70005103,0.25,250.0,1000.0
6829,71001057,70005103,0.5,500.0,1000.0
6830,71001058,70005103,0.04546,45.46,1000.0
6831,71001059,70005103,0.5,500.0,1000.0
6832,71001060,70003709,0.5,500.0,1000.0
6833,71001061,70003710,0.5,500.0,1000.0
6834,71001063,71000792,0.00298,2.98,1000.0
6835,71001064,71000580,0.0052699999999999995,5.27,1000.0
6836,71001065,70000988,0.00173,1.73,1000.0
6837,71001066,70000990,0.0019199999999999998,1.92,1000.0
6839,70007504,70007503,1.0,1000.0,1000.0
6840,71001067,70005949,0.125,125.0,1000.0
6841,71001068,70005949,0.125,125.0,1000.0
6842,71001069,70005949,0.125,125.0,1000.0
6843,71001070,70009524,0.33333999999999997,333.34,1000.0
6844,71001071,70003840,0.125,125.0,1000.0
6845,71001072,70003840,0.125,125.0,1000.0
6846,71001074,70003840,0.125,125.0,1000.0
6847,71001075,70003840,0.125,125.0,1000.0
6848,71001078,70004118,0.00715,7.15,1000.0
6849,71001079,70009478,0.25,250.0,1000.0
6850,71001080,70003689,1.0,1000.0,1000.0
6851,71001081,70003745,0.75,750.0,1000.0
6852,71001082,70003739,0.055560000000000005,55.56,1000.0
6853,71001083,70006327,0.5,500.0,1000.0
6854,71001084,70006332,0.07143000000000001,71.43,1000.0
6855,71001085,70006332,0.125,125.0,1000.0
6856,71001086,70007272,0.01137,11.37,1000.0
6857,71001087,70003840,0.047619999999999996,47.62,1000.0
6858,71001088,70005128,0.02041,20.41,1000.0
6859,71001089,70003761,0.02041,20.41,1000.0
6860,71001090,70004992,0.25,250.0,1000.0
6861,71001091,70004992,0.5,500.0,1000.0
6862,71001092,70003035,0.01563,15.63,1000.0
6863,71001094,71001289,1.0,1000.0,1000.0
6864,71001095,71001290,1.0,1000.0,1000.0
6865,71001096,71001291,1.0,1000.0,1000.0
6866,71001097,70003747,0.125,125.0,1000.0
6867,71001098,71001292,1.0,1000.0,1000.0
