,c,semana,quantidade
442,70002130,21,0.0
443,70002130,22,0.0
444,70002130,23,0.0
445,70002130,24,0.0
446,70002130,25,0.0
447,70002130,26,0.0
448,70002130,27,0.0
449,70002130,28,0.0
450,70002130,29,0.0
451,70002130,30,0.0
452,70002130,31,0.0
453,70002130,32,0.0
454,70002130,33,0.0
455,70002130,34,0.0
456,70002130,35,0.0
457,70002130,36,0.0
458,70002130,37,0.0
459,70002130,38,0.0
460,70002130,39,0.0
461,70002130,40,0.0
462,70002130,41,0.0
463,70002130,42,0.0
464,70002130,43,0.0
465,70002130,44,0.0
466,70002130,45,0.0
467,70002130,46,0.0
468,70002130,47,0.0
469,70002130,48,0.0
470,70002130,49,0.0
471,70002130,50,0.0
472,70002130,51,0.0
473,70002130,52,0.0
474,70002130,53,0.0
475,70002130,54,0.0
476,70002130,55,0.0
477,70002708,3,0.0
478,70002708,4,0.0
479,70002708,5,0.0
480,70002708,6,0.0
481,70002708,7,0.0
482,70002708,8,0.0
483,70002708,9,0.0
484,70002708,10,0.0
485,70002708,11,0.0
486,70002708,12,0.0
487,70002708,13,0.0
488,70002708,14,0.0
489,70002708,15,0.0
490,70002708,16,0.0
491,70002708,17,0.0
492,70002708,18,0.0
493,70002708,19,0.0
494,70002708,20,0.0
495,70002708,21,0.0
496,70002708,22,0.0
497,70002708,23,0.0
498,70002708,24,0.0
499,70002708,25,0.0
500,70002708,26,0.0
501,70002708,27,0.0
502,70002708,28,0.0
503,70002708,29,0.0
504,70002708,30,0.0
505,70002708,31,0.0
506,70002708,32,0.0
507,70002708,33,0.0
508,70002708,34,0.0
509,70002708,35,0.0
510,70002708,36,0.0
511,70002708,37,0.0
512,70002708,38,0.0
513,70002708,39,0.0
514,70002708,40,0.0
515,70002708,41,0.0
516,70002708,42,0.0
517,70002708,43,0.0
518,70002708,44,0.0
519,70002708,45,0.0
520,70002708,46,0.0
521,70002708,47,0.0
522,70002708,48,0.0
523,70002708,49,0.0
524,70002708,50,0.0
525,70002708,51,0.0
526,70002708,52,0.0
527,70002708,53,0.0
528,70002708,54,0.0
529,70002708,55,0.0
530,70002129,3,0.0
531,70002129,4,0.0
532,70002129,5,0.0
533,70002129,6,0.0
534,70002129,7,0.0
535,70002129,8,0.0
536,70002129,9,0.0
537,70002129,10,0.0
538,70002129,11,0.0
539,70002129,12,0.0
540,70002129,13,0.0
541,70002129,14,0.0
542,70002129,15,0.0
543,70002129,16,0.0
544,70002129,17,0.0
545,70002129,18,0.0
546,70002129,19,0.0
547,70002129,20,0.0
548,70002129,21,0.0
549,70002129,22,0.0
550,70002129,23,0.0
551,70002129,24,0.0
552,70002129,25,0.0
553,70002129,26,0.0
554,70002129,27,0.0
555,70002129,28,0.0
556,70002129,29,0.0
557,70002129,30,0.0
558,70002129,31,0.0
559,70002129,32,0.0
560,70002129,33,0.0
561,70002129,34,0.0
562,70002129,35,0.0
563,70002129,36,0.0
564,70002129,37,0.0
565,70002129,38,0.0
566,70002129,39,0.0
567,70002129,40,0.0
568,70002129,41,0.0
569,70002129,42,0.0
570,70002129,43,0.0
571,70002129,44,0.0
572,70002129,45,0.0
573,70002129,46,0.0
574,70002129,47,0.0
575,70002129,48,0.0
576,70002129,49,10.0
577,70002129,50,0.0
578,70002129,51,0.0
579,70002129,52,0.0
580,70002129,53,0.0
581,70002129,54,0.0
582,70002129,55,0.0
583,70007414,3,0.0
584,70007414,4,0.0
585,70007414,5,0.0
586,70007414,6,0.0
587,70007414,7,0.0
588,70007414,8,0.0
589,70007414,9,0.0
590,70007414,10,0.0
591,70007414,11,0.0
592,70007414,12,0.0
593,70007414,13,0.0
594,70007414,14,0.0
595,70007414,15,0.0
596,70007414,16,0.0
597,70007414,17,0.0
598,70007414,18,0.0
599,70007414,19,0.0
600,70007414,20,0.0
601,70007414,21,0.0
602,70007414,22,0.0
603,70007414,23,0.0
604,70007414,24,0.0
605,70007414,25,0.0
606,70007414,26,0.0
607,70007414,27,0.0
608,70007414,28,0.0
609,70007414,29,0.0
610,70007414,30,0.0
611,70007414,31,0.0
612,70007414,32,0.0
613,70007414,33,0.0
614,70007414,34,0.0
615,70007414,35,0.0
616,70007414,36,0.0
617,70007414,37,0.0
618,70007414,38,0.0
619,70007414,39,0.0
620,70007414,40,0.0
621,70007414,41,0.0
622,70007414,42,0.0
623,70007414,43,0.0
624,70007414,44,0.0
625,70007414,45,0.0
626,70007414,46,0.0
627,70007414,47,0.0
628,70007414,48,0.0
629,70007414,49,0.0
630,70007414,50,0.0
631,70007414,51,0.0
632,70007414,52,0.0
633,70007414,53,0.0
634,70007414,54,0.0
635,70007414,55,0.0
636,70012058,3,0.0
637,70012058,4,0.0
638,70012058,5,0.0
639,70012058,6,0.0
640,70012058,7,0.0
641,70012058,8,0.0
642,70012058,9,0.0
643,70012058,10,0.0
644,70012058,11,0.0
645,70012058,12,0.0
646,70012058,13,0.0
647,70012058,14,0.0
648,70012058,15,0.0
649,70012058,16,0.0
650,70012058,17,0.0
651,70012058,18,0.0
652,70012058,19,0.0
653,70012058,20,0.0
654,70012058,21,0.0
655,70012058,22,0.0
656,70012058,23,0.0
657,70012058,24,0.0
658,70012058,25,0.0
659,70012058,26,0.0
660,70012058,27,0.0
661,70012058,28,0.0
662,70012058,29,0.0
663,70012058,30,0.0
664,70012058,31,0.0
665,70012058,32,0.0
666,70012058,33,0.0
667,70012058,34,0.0
668,70012058,35,0.0
669,70012058,36,0.0
670,70012058,37,0.0
671,70012058,38,0.0
672,70012058,39,0.0
673,70012058,40,0.0
674,70012058,41,0.0
675,70012058,42,0.0
676,70012058,43,0.0
677,70012058,44,0.0
678,70012058,45,0.0
679,70012058,46,0.0
680,70012058,47,0.0
681,70012058,48,0.0
682,70012058,49,0.0
683,70012058,50,0.0
684,70012058,51,0.0
685,70012058,52,0.0
686,70012058,53,0.0
687,70012058,54,0.0
688,70012058,55,0.0
689,70000081,3,0.0
