Nome planejador,Status ordem de produção,Tipo de Ordem de produção/planeada,Ordem Venda / Transferência,Item OV/Transferência,Data de criação da ov,Sold to,Responsável SAC,Ordem de produção / planeada,Data-base do início,Data-base do fim,Data desejada de saída de mercadoria,Semana saída de mercadoria,Material de produção,Texto breve de material,Quantidade total da ordem,Componente,Descritivo componente,Qtd.necessária,Descritivo de Centro de Trabalho,Centro de trabalho,Duração da operação,País Destino,Quantidade fornecida ordem de produção
CRM - Transformaçã,ABER,ZRSE,3823000504.0,100.0,,,,1600072834.0,29/07/2021,30/07/2021,,0.0,71000075,QD CI 5351/OCL 21-Z 164 NE,22.0,71000916,QD CI 5351/000 21-Z 164 NE,22.0,CRM-COLAR QUADROS,CRMCOLQD,0.647,,0.0
CRM - Transformaçã,ABER,ZRSE,3823000504.0,100.0,,,,1600072835.0,29/07/2021,30/07/2021,,0.0,71000916,QD CI 5351/000 21-Z 164 NE,22.0,70000956,BL CI 5351/000 950X650X200 NE,5.654,CRM-SERRA,CRMSERRA,1.921,,0.0
CCS,ABER,ZCEJ,3823000504.0,110.0,04/05/2021,"AMORIM CORK COMPOSITES, INC",RFERNANDES,1600072836.0,29/07/2021,29/07/2021,22/06/2021,202131.0,71000168,"JT CI 5351/000 10-Z 2,4 00",2000.0,71001231,"JT CI 5351/000 10-Z 2,4 NE",2000.0,CCS-EMBALAGEM JUNTAS,CCSEMBJT,0.001,US,0.0
CCS,ABER,ZCJT,3823000504.0,110.0,,,,1600072837.0,29/07/2021,29/07/2021,,0.0,71001231,"JT CI 5351/000 10-Z 2,4 NE",2000.0,71000422,"FQ CI 5351/000 10-Z 2,4 NE",1000.0,CCS-CUNHAGEM JUNTAS,CCSBALJT,0.989,,0.0
CRM - Transformaçã,ABER,ZRPL,3823000504.0,110.0,,,,1600072838.0,29/07/2021,30/07/2021,,0.0,71000422,"FQ CI 5351/000 10-Z 2,4 NE",1000.0,71000055,QD CI 5351/OCL 10-Z 164 NE,13.0,CRM-LAMINADORA PLACAS BORRACHA,CRMLAMPL,2.222,,0.0
CRM - Transformaçã,ABER,ZRSE,3823000504.0,110.0,,,,1600072839.0,29/07/2021,30/07/2021,,0.0,71000055,QD CI 5351/OCL 10-Z 164 NE,13.0,71000906,QD CI 5351/000 10-Z 164 NE,13.0,CRM-COLAR QUADROS,CRMCOLQD,0.371,,0.0
CRM - Transformaçã,ABER,ZRSE,3823000504.0,110.0,,,,1600072840.0,29/07/2021,30/07/2021,,0.0,71000906,QD CI 5351/000 10-Z 164 NE,13.0,70000956,BL CI 5351/000 950X650X200 NE,3.113,CRM-SERRA,CRMSERRA,1.091,,0.0
CCS,ABER,ZCEJ,3823000504.0,120.0,04/05/2021,"AMORIM CORK COMPOSITES, INC",RFERNANDES,1600072841.0,29/07/2021,29/07/2021,22/06/2021,202131.0,71000202,"JT CI 5351/000 18-Z 2,4 00",2000.0,71001242,"JT CI 5351/000 18-Z 2,4 NE",2000.0,CCS-EMBALAGEM JUNTAS,CCSEMBJT,0.001,US,0.0
CCS,ABER,ZCJT,3823000504.0,120.0,,,,1600072842.0,29/07/2021,29/07/2021,,0.0,71001242,"JT CI 5351/000 18-Z 2,4 NE",2000.0,71000423,"FQ CI 5351/000 18-Z 2,4 NE",1000.0,CCS-CUNHAGEM JUNTAS,CCSBALJT,0.94,,0.0
CRM - Transformaçã,ABER,ZRPL,3823000504.0,120.0,,,,1600072843.0,29/07/2021,30/07/2021,,0.0,71000423,"FQ CI 5351/000 18-Z 2,4 NE",1000.0,71000073,QD CI 5351/OCL 18-Z 164 NE,13.0,CRM-LAMINADORA PLACAS BORRACHA,CRMLAMPL,2.421,,0.0
CRM - Transformaçã,ABER,ZRSE,3823000504.0,120.0,,,,1600072844.0,29/07/2021,30/07/2021,,0.0,71000073,QD CI 5351/OCL 18-Z 164 NE,13.0,71000914,QD CI 5351/000 18-Z 164 NE,13.0,CRM-COLAR QUADROS,CRMCOLQD,0.282,,0.0
CRM - Transformaçã,ABER,ZRSE,3823000504.0,120.0,,,,1600072845.0,29/07/2021,30/07/2021,,0.0,71000914,QD CI 5351/000 18-Z 164 NE,13.0,70000956,BL CI 5351/000 950X650X200 NE,2.939,CRM-SERRA,CRMSERRA,0.881,,0.0
CNM - Transformaçã,ABER,ZNEP,3823000502.0,10.0,03/05/2021,"AMORIM CORK COMPOSITES, INC",RFERNANDES,1600071774.0,06/08/2021,07/08/2021,22/06/2021,202132.0,70004656,"PL CI 5608/000 915X610X12,5 01",3850.0,70005829,"PL CI 5608/000 915X610X12,5 NE",3850.0,CNM-EMBALAGEM PLACAS,CNMEMBPL,8.021,US,0.0
CNM - Transformaçã,ABER,ZNPL,3823000502.0,10.0,,,,1600071775.0,06/08/2021,07/08/2021,,0.0,70005829,"PL CI 5608/000 915X610X12,5 NE",3850.0,70005517,BL CI 5608/ORT 915X610X250 NE,198.275,CNM-LAMINADORAS PLACAS,CNMLAMPL,11.846,,0.0
CNM - Transformaçã,ABER,ZNEP,3823000502.0,20.0,03/05/2021,"AMORIM CORK COMPOSITES, INC",RFERNANDES,1600071776.0,06/08/2021,07/08/2021,22/06/2021,202132.0,70010042,"PL CI 5608/000 915X610X5,8 01",7000.0,70006865,"PL CI 5608/000 915X610X5,8 NE",7000.0,CNM-EMBALAGEM PLACAS,CNMEMBPL,6.731,US,0.0
CNM - Transformaçã,ABER,ZNPL,3823000502.0,20.0,,,,1600071777.0,06/08/2021,06/08/2021,,0.0,70006865,"PL CI 5608/000 915X610X5,8 NE",7000.0,70023275,"RL CI 5608/000 610X5,8 NE",6440.0,CNM-SHEETER 2,CNMSHT02,23.333,,0.0
CNM - Transformaçã,ABER,ZNRL,3823000502.0,20.0,,,,1600079757.0,06/08/2021,07/08/2021,,0.0,70023275,"RL CI 5608/000 610X5,8 NE",6440.0,70006615,CL CI 5608 1270X950 NE,30.148,CNM-LAMINADORAS ROLOS,CNMLAMRL,19.515,,0.0
CNM - Transformaçã,ABER,ZNPL,3823000501.0,10.0,,,,1600071533.0,29/07/2021,31/07/2021,,0.0,70005776,"PL CC 8403/000 915X610X12,5 NE",7350.0,70005513,BL CC 8403/ORT 915X610X250 NE,371.175,CNM-LAMINADORAS PLACAS,CNMLAMPL,22.615,,0.0
CNM - Transformaçã,ABER,ZNEP,3823000501.0,10.0,03/05/2021,"AMORIM CORK COMPOSITES, INC",RFERNANDES,1600071534.0,30/07/2021,31/07/2021,22/06/2021,202131.0,70001797,"PL CC 8403/000 915X610X12,5 01",7350.0,70005776,"PL CC 8403/000 915X610X12,5 NE",7350.0,CNM-EMBALAGEM PLACAS,CNMEMBPL,15.313,US,0.0
CRM - Transformaçã,ABER,ZRPL,3823000500.0,10.0,,,,1600071529.0,29/07/2021,31/07/2021,,0.0,70007034,"PL CI 5404/PAK 915X610X5,0 NE",4480.0,70007153,BL CI 5404/ORT 915X610X200 NE,115.36,CNM-LAMINADORAS PLACAS,CNMLAMPL,23.52,,0.0
CNM - Transformaçã,ABER,ZNEP,3823000500.0,10.0,03/05/2021,"AMORIM CORK COMPOSITES, INC",RFERNANDES,1600071530.0,30/07/2021,31/07/2021,17/06/2021,202131.0,70005434,"PL CI 5404/PAK 915X610X5,0 01",4480.0,70007034,"PL CI 5404/PAK 915X610X5,0 NE",4480.0,CNM-EMBALAGEM PLACAS,CNMEMBPL,19.6,US,0.0
CNM - Transformaçã,ABER,ZNPL,3823000500.0,20.0,,,,1600071531.0,29/07/2021,31/07/2021,,0.0,70006949,"PL CI 5404/PAK 915X610X10,0 NE",2940.0,70007153,BL CI 5404/ORT 915X610X200 NE,151.41,CNM-LAMINADORAS PLACAS,CNMLAMPL,26.727,,0.0
CNM - Transformaçã,ABER,ZNEP,3823000500.0,20.0,03/05/2021,"AMORIM CORK COMPOSITES, INC",RFERNANDES,1600071532.0,30/07/2021,31/07/2021,22/06/2021,202131.0,70005742,"PL CI 5404/PAK 915X610X10,0 01",2940.0,70006949,"PL CI 5404/PAK 915X610X10,0 NE",2940.0,CNM-EMBALAGEM PLACAS,CNMEMBPL,19.6,US,0.0
GMT,ABER,ZGEB,3823000499.0,10.0,03/05/2021,"AMORIM CORK COMPOSITES, INC",RFERNANDES,1600071577.0,23/08/2021,23/08/2021,30/08/2021,202135.0,41000399,"GRAN BD 0,5/1 58-62 SE SA010",4200.27,41000313,"GRAN BD 0,5/1 58-62 SE GR",4200.27,GMT-EMBALAGEM,GMTEMBAL,4.2,US,0.0
GMT,ABER,ZGEB,3823000498.0,10.0,03/05/2021,"AMORIM CORK COMPOSITES, INC",RFERNANDES,1600071576.0,02/08/2021,02/08/2021,09/08/2021,202132.0,41000399,"GRAN BD 0,5/1 58-62 SE SA010",4200.27,41000313,"GRAN BD 0,5/1 58-62 SE GR",4200.27,GMT-EMBALAGEM,GMTEMBAL,4.2,US,0.0
GMT,LIB,ZGEB,3823000497.0,10.0,03/05/2021,"AMORIM CORK COMPOSITES, INC",RFERNANDES,1600071583.0,01/07/2021,01/07/2021,05/07/2021,202127.0,41000399,"GRAN BD 0,5/1 58-62 SE SA010",4200.27,41000313,"GRAN BD 0,5/1 58-62 SE GR",4200.27,GMT-EMBALAGEM,GMTEMBAL,4.2,US,0.0
GMT,LIB,ZGEB,3823000496.0,10.0,03/05/2021,"AMORIM CORK COMPOSITES, INC",RFERNANDES,1600071582.0,01/07/2021,01/07/2021,22/06/2021,202127.0,41000399,"GRAN BD 0,5/1 58-62 SE SA010",4200.27,41000313,"GRAN BD 0,5/1 58-62 SE GR",4200.27,GMT-EMBALAGEM,GMTEMBAL,4.2,US,0.0
CNM - Transformaçã,LIB,ZNVS,3823000495.0,10.0,,,,1600071527.0,18/06/2021,19/06/2021,,0.0,70006685,"RL CC 8244/000 1220X5,8-15,25M NE",456.0,70002818,CL CC 8244 1220X1100 NE,46.056,CNM-LAMINAGEM VSM,CNMVSMRL,11.254,,456.0
CRM - Transformaçã,LIB,ZREI,3823000493.0,120.0,03/05/2021,"AMORIM CORK COMPOSITES, INC",RFERNANDES,1600071301.0,09/06/2021,10/06/2021,22/06/2021,202125.0,70001226,BL CR 2549/000 915X915X152 00,30.0,70000861,BL CR 2549/000 915X915X152 NE,30.0,CRM-EMBALAGEM INTEIROS,CRMEMBIN,0.5,US,30.0
CRM - Aglomeração,LIB,ZREI,3823000493.0,140.0,03/05/2021,"AMORIM CORK COMPOSITES, INC",RFERNANDES,1600074002.0,09/06/2021,10/06/2021,22/06/2021,202125.0,70001229,BL CR HC50/000 1270X660X152 00,95.0,70000775,BL CR HC50/000 1270X660X152 NE,95.0,CRM-EMBALAGEM INTEIROS,CRMEMBIN,1.583,US,84.0
CNM - Transformaçã,,KD,3823000491.0,120.0,27/04/2021,"AMORIM CORK COMPOSITES, INC",RFERNANDES,383784375.0,15/06/2021,15/06/2021,22/06/2021,0.0,70011920,CL CC 8232 1220X1100 01,1.0,70002821,CL CC 8232 1220X1100 NE,1.0,CNM-EMBALAGEM INTEIROS,CNMEMBIN,0.0,US,0.0
CRM - Transformaçã,ABER,ZRPE,3823000491.0,20.0,27/04/2021,"AMORIM CORK COMPOSITES, INC",RFERNANDES,1600070293.0,25/06/2021,26/06/2021,22/06/2021,202126.0,70001230,CL CR N711 1067X635 00,1.0,70000910,CL CR N711 1067X635 NE,1.0,CRM-EMBALAGEM INTEIROS,CRMEMBIN,0.0,US,0.0
CRM - Transformaçã,ABER,ZREI,3823000491.0,30.0,27/04/2021,"AMORIM CORK COMPOSITES, INC",RFERNANDES,1600070294.0,09/07/2021,10/07/2021,22/06/2021,202128.0,70001319,CL CR 1521 1092X762 00,5.0,70000915,CL CR 1521 1092X762 NE,5.0,CRM-EMBALAGEM INTEIROS,CRMEMBIN,1.852,US,0.0
CNM - Transformaçã,ABER,ZNEP,3823000490.0,10.0,27/04/2021,"AMORIM CORK COMPOSITES, INC",RFERNANDES,1600069979.0,23/07/2021,24/07/2021,22/06/2021,202130.0,70004656,"PL CI 5608/000 915X610X12,5 01",3500.0,70005829,"PL CI 5608/000 915X610X12,5 NE",3500.0,CNM-EMBALAGEM PLACAS,CNMEMBPL,7.292,US,0.0
CNM - Transformaçã,ABER,ZNPL,3823000490.0,10.0,,,,1600069980.0,23/07/2021,24/07/2021,,0.0,70005829,"PL CI 5608/000 915X610X12,5 NE",3500.0,70005517,BL CI 5608/ORT 915X610X250 NE,180.25,CNM-LAMINADORAS PLACAS,CNMLAMPL,10.769,,0.0
CNM - Transformaçã,ABER,ZNEP,3823000490.0,20.0,27/04/2021,"AMORIM CORK COMPOSITES, INC",RFERNANDES,1600069981.0,23/07/2021,24/07/2021,22/06/2021,202130.0,70010042,"PL CI 5608/000 915X610X5,8 01",7700.0,70006865,"PL CI 5608/000 915X610X5,8 NE",7700.0,CNM-EMBALAGEM PLACAS,CNMEMBPL,7.404,US,0.0
