,codigo material,material c,fator incorporação
935,70007843,70007843,5.0
936,70014410,70014428,3.0
937,70014428,70014428,3.0
938,70009294,70009294,3.0
939,70009295,70009295,3.0
940,70014749,70014749,3.0
941,70014748,70014749,0.6
942,70009155,70009155,0.6
943,70005349,70009155,1.0
944,70009153,70009153,1.0
945,70006464,70009153,1.0
946,70007834,70007834,1.0
947,70009157,70007834,25.0
948,70007821,70007821,25.0
949,70007823,70007821,1.0
950,70015204,70015204,1.0
951,70015203,70015204,25.0
952,70003803,70003803,25.0
953,70009160,70009160,25.0
954,70003802,70009160,
955,70008002,70008002,
956,70003191,70008002,1.0
957,70003471,70003471,1.0
958,70006707,70006707,1.0
959,72000953,72000953,1.0
960,72000961,72000953,1.0
961,70010716,70010716,1.0
962,70023087,70023087,1.0
963,70023101,70023101,1.0
964,70023104,70023104,1.0
965,70023090,70023090,1.0
966,70023098,70023098,1.0
967,70023093,70023093,1.0
968,70023095,70023095,1.0
969,70024096,70024096,1.0
970,70015441,70015441,1.0
971,70009299,70009299,1.0
972,70009300,70009299,1.0
973,70001928,70001928,1.0
974,70009301,70009301,1.0
975,70009310,70009301,1.0
976,70005997,70005997,1.0
977,70007842,70007842,1.0
978,70000946,70007842,
979,70002800,70007842,
980,70014410,70014410,
981,70000396,70014410,
982,70014748,70014748,
983,70005349,70005349,
984,70006464,70006464,
985,70009157,70009157,
986,70002776,70009157,1.0
987,70007823,70007823,1.0
988,70007822,70007823,3.75
989,70014100,70015203,1.0
990,70015203,70015203,1.0
991,70003802,70003802,1.0
992,70003191,70003191,1.0
993,72000961,72000961,1.0
994,70009300,70009300,1.0
995,70002973,70009300,
996,70009310,70009310,
997,70009309,70009310,0.5
998,70000946,70000946,0.5
999,70002800,70002800,0.5
1000,70000396,70000396,0.5
1001,70002776,70002776,0.5
1002,70007822,70007822,0.5
1003,70003020,70007822,1.0
1004,70014100,70014100,1.0
1005,70002973,70002973,1.0
1006,70009309,70009309,1.0
1007,70024592,70009309,1.0
1008,70014090,70009309,1.0
1009,70002123,70009309,
1010,70001053,70009309,
1011,70003020,70003020,
1012,70024592,70024592,
1013,70014090,70014090,
1014,70002123,70002123,
1015,70001053,70001053,
