,ov,semana_algoritmo,semana_plan_real
174,3823000537.0,-1,41
175,3823000534.0,-1,41
176,3823000531.0,-1,29
177,3823000527.0,-1,40
178,3823000525.0,-1,29
179,3823000524.0,-1,32
180,3823000500.0,-1,30
181,3823000489.0,-1,38
182,3823000442.0,-1,40
183,3823000440.0,-1,39
184,3823000411.0,-1,30
185,3823000395.0,-1,39
186,3823000348.0,-1,45
187,3823000341.0,-1,41
188,3823000162.0,-1,43
189,3820015085.0,-1,41
190,3820015084.0,-1,41
191,3820015081.0,-1,41
192,3820015077.0,-1,45
193,3820015076.0,-1,41
194,3820015065.0,-1,41
195,3820015061.0,-1,41
196,3820015039.0,-1,40
197,3820015036.0,-1,47
198,3820015031.0,-1,40
199,3820015029.0,-1,47
200,3820015028.0,-1,41
201,3820015024.0,-1,50
202,3820015023.0,-1,50
203,3820015021.0,-1,43
204,3820015020.0,-1,49
205,3820015019.0,-1,41
206,3820015018.0,-1,41
207,3820015017.0,-1,41
208,3820015016.0,-1,45
209,3820015015.0,-1,51
210,3820015012.0,-1,44
211,3820015011.0,-1,49
212,3820015009.0,-1,43
213,3820015008.0,-1,41
214,3820015007.0,-1,48
215,3820014996.0,-1,47
216,3820014994.0,-1,41
217,3820014993.0,-1,45
218,3820014992.0,-1,43
219,3820014991.0,-1,42
220,3820014990.0,-1,40
221,3820014989.0,-1,43
222,3820014988.0,-1,49
223,3820014987.0,-1,39
224,3820014986.0,-1,45
225,3820014985.0,-1,45
226,3820014984.0,-1,45
227,3820014982.0,-1,40
228,3820014981.0,-1,50
229,3820014980.0,-1,45
230,3820014979.0,-1,43
231,3820014954.0,-1,41
232,3820014949.0,-1,43
233,3820014948.0,-1,43
234,3820014947.0,-1,46
235,3820014946.0,-1,47
236,3820014944.0,-1,39
237,3820014942.0,-1,45
238,3820014940.0,-1,46
239,3820014936.0,50,43
240,3820014935.0,-1,43
241,3820014934.0,-1,50
242,3820014933.0,-1,44
243,3820014932.0,-1,42
244,3820014931.0,-1,44
245,3820014930.0,-1,41
246,3820014910.0,-1,46
247,3820014909.0,-1,42
248,3820014908.0,-1,49
249,3820014907.0,-1,49
250,3820014904.0,-1,50
251,3820014903.0,-1,44
252,3820014902.0,-1,43
253,3820014901.0,-1,41
254,3820014900.0,-1,45
255,3820014899.0,-1,45
256,3820014883.0,-1,43
257,3820014882.0,-1,41
258,3820014878.0,-1,41
259,3820014877.0,-1,44
260,3820014876.0,-1,45
261,3820014873.0,-1,46
262,3820014872.0,-1,42
263,3820014871.0,-1,42
264,3820014870.0,-1,41
265,3820014869.0,-1,45
266,3820014868.0,-1,39
267,3820014867.0,-1,46
268,3820014866.0,-1,44
269,3820014865.0,-1,40
270,3820014864.0,-1,39
271,3820014863.0,-1,46
272,3820014861.0,-1,50
273,3820014860.0,-1,42
274,3820014852.0,-1,39
275,3820014851.0,-1,42
276,3820014850.0,-1,46
277,3820014849.0,-1,46
278,3820014847.0,-1,46
279,3820014846.0,-1,47
280,3820014845.0,-1,43
281,3820014843.0,-1,45
282,3820014834.0,-1,43
283,3820014824.0,-1,40
284,3820014823.0,-1,46
285,3820014822.0,-1,43
286,3820014821.0,-1,51
287,3820014820.0,-1,39
288,3820014819.0,-1,42
289,3820014817.0,-1,46
290,3820014815.0,-1,41
291,3820014814.0,-1,42
292,3820014811.0,-1,46
293,3820014810.0,-1,41
294,3820014807.0,-1,50
295,3820014794.0,-1,38
296,3820014793.0,-1,45
297,3820014792.0,-1,44
298,3820014791.0,-1,45
299,3820014785.0,-1,41
300,3820014784.0,-1,39
301,3820014783.0,-1,38
302,3820014782.0,-1,41
303,3820014781.0,-1,45
304,3820014771.0,-1,43
305,3820014766.0,-1,51
306,3820014765.0,-1,50
307,3820014764.0,-1,49
308,3820014763.0,-1,48
309,3820014762.0,-1,47
310,3820014761.0,-1,46
311,3820014760.0,-1,45
312,3820014759.0,-1,46
313,3820014744.0,-1,49
314,3820014743.0,-1,43
